endTime,artistName,trackName,msPlayed
12/25/19 18:15,Adolphe Adam,"O Helga natt (Cantique de Noel, O Holy Night): Can...",114273
3/25/20 18:34,John Lennon,Imagine - Ultimate Mix,186213
3/25/20 18:41,The Beatles,Hey Jude - Remastered 2015,425653
3/25/20 18:43,The Beatles,Yesterday - Remastered 2009,125666
3/25/20 18:47,The Beatles,Here Comes The Sun - Remastered 2009,185733
3/25/20 18:51,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long ...",281613
3/25/20 18:52,Elton John,Your Song - Remastered,23894
3/26/20 15:01,King Guru,She's the Only One,2837
3/26/20 15:01,Jukebox The Ghost,Victoria,218005
3/26/20 15:05,Electric Guest,Dollar,208746
3/26/20 15:07,Zach Berkman,Where the Wind Blows,167198
3/26/20 15:09,Bad Suns,One Magic Moment,75577
3/26/20 15:47,Billy Joel,Uptown Girl,17813
3/26/20 15:49,Justin Timberlake,CAN'T STOP THE FEELING! (Original Song from DreamW...,16298
3/26/20 17:42,Magic City Hippies,Franny,106920
3/26/20 17:43,Lawrence,Oranges,25105
3/26/20 17:46,Lake Street Dive,Side Pony,182426
3/26/20 17:49,The Head And The Heart,All We Ever Knew,225560
3/26/20 18:19,James Blunt,Goodbye My Lover,258653
3/26/20 18:22,Kel,Nashville,195346
3/26/20 18:27,John Mayer,New Light,216014
3/26/20 18:31,Ray LaMontagne,You Are the Best Thing,231840
3/26/20 18:34,Jordy Searcy,Why Can't We Be Friends?,207656
3/26/20 18:38,The National Parks,As We Ran,200321
3/26/20 18:40,Mipso,Louise,112307
3/26/20 18:43,Morningsiders,Honey Hold Me,181454
3/26/20 18:49,John Mayer,Your Body Is a Wonderland,129352
3/26/20 18:52,Colony House,Moving Forward,217986
3/26/20 18:56,Passenger,Anywhere,216200
3/26/20 18:59,The Head And The Heart,Honeybee,196055
3/26/20 19:03,James Blunt,Tears and Rain,244226
3/26/20 19:08,Sam Burchfield,Spring,231626
3/26/20 19:10,Jamie Lawson,Wasn't Expecting That,2165
3/26/20 19:10,The Ballroom Thieves,Anybody Else,512
3/26/20 19:10,The Ballroom Thieves,Anybody Else,415
3/26/20 19:10,Lawrence,Casualty,1151
3/26/20 19:10,Lawrence,Casualty,351
3/26/20 19:10,Cody Fry,Vegas,152802
3/26/20 19:11,Cody Fry,Vegas,41161
3/26/20 19:16,Jamie Lawson,Wasn't Expecting That,3776
3/26/20 19:16,The Ballroom Thieves,Anybody Else,39338
3/26/20 19:16,Lawrence,Casualty,122068
3/26/20 19:16,James Blunt,Billy,1023
3/26/20 19:16,Jordy Searcy,Love & War in Your Twenties,1653
3/26/20 19:16,Mipso,Carolina Calling,970
3/26/20 19:20,Lawrence,More,196733
3/26/20 19:24,Susto,Chillin' On The Beach With My Best Friend Jesus Ch...,1589
